Nome,anoShow,descriçãoCurta,tags,Imagem
Deflagração da Peste Bubônica,1348,"A deflagração da Peste Bubônica ocorre a partir do ano de xxxx, na Europa.","dvm, int",17
1º descrição da catapora,1538,"Primeira descrição da catapora, por Fernel.","dvm, int",13
Tuberculose chega no Brasil,1549,Tuberculose chega ao Brasil através de pacientes que acreditavam que o clima local ajudava na cura da doença.,"dvm, brs",5
1º caso de Cólera no Brasil,1850,Cólera chega ao Brasil através de um escravizado contaminado,"dvm, brs",4
Cólera é transmitida pela água,1854,John Snow liga a propagação da cólera ao contato com água contaminada.,"dvm, int",3
Descoberta natureza infecciosa da catapora,1875,Natureza infecciosa da catapora é descoberta por Steiner.,"dvm, int",14
Rubeola se distingue do sarampo,1881,Rubéola é reconhecida como uma doença distinta do sarampo.,"dvm, int",12
Peste negra chega ao Brasil,1899,Peste bubônica chega ao Brasil através de barcos portugueses em Santos.,"dvm, brs",20
Criação da vacina BCG,1909,Ano da criação da vacina BCG (contra a Tuberculose).,"dvm, int",6
1º surto de pólio no Brasil,1911,Primeiro surto de poliomelite no Brasil aconteceu em xxxx no Rio de Janeiro.,"dvm, brs",1
Criação da lei Eloy Chaves,1923,Lei que relacionava a previdência social do setor ferroviário ao direito à alguma assistência médica.,"spm, brs",26
Descoberta do primeiro antibiótico,1928,"A descoberta acidental da penicilina, por Alexander Fleming.","dvm, int",15
Estudos para a purificação da penicilina,1938,Um grupo de pesquisadores da Universidade de Oxford dedicou-se a purificar a penicilina,"dvm, int",16
Vírus da caxumba é isolado,1945,Conseguem isolar o vírus da Caxumba.,"dvm, int",10
Ano de fundação da OMS,1948,A Organização Mundial de Saúde foi fundada em abril de xxxx.,"spm, int",19
Criação do instituto nacional de previdência social,1966,"Após a lei Eloy Chaves, cada profissão passou a ter seu próprio sistema de forma parecida, o instituto chega para unificar esses sistemas.","spm, brs",27
OMS declara a extinção da varíola,1980,"Em xxxx, a Organização Mundial da Saúde declara a extinção da variola após numerosas certificações","spm, int, dvm",21
Criação da Associação Brasileira Interdisciplinar de AIDS (Abia),1987,A Associação Brasileira Interdisciplinar de Aids (atuante ainda hoje) foi uma ONG criada pelo sociólogo Herbet de Souza e pelo médico Walter Almeida. Marca uma das primeiras respostas intitucionais à chegada da AIDS no Brasil.,"aid, brs",31
Erradicação da pólio no Brasil,1989,"A erradicação da poliomeliete no Brasil aconteceu em xxxx, quando foi registrado o úlitmo caso da doença.","dvm, brs",2
Ano em que o SUS foi criado,1988,"Após a constituição de xxxx, o Sistema Único de Sáude foi criado.","spm, brs",18
SAMU é criado,2003,SAMU é criado na política nacional de atenção as urgências.,"spm, brs",24
 É instituida a política nacional de atenção as urgências,2003,É criado visando melhorar a área da saúde e resolver problemas da área da saúde.,"spm, brs",30
Criação da comissão de determinantes sociais de saúde da OMS,2005,Essa comissão dá maior visibilidade aos determinantes sociais.,"spm, int",25
UPA é implementada no RJ.,2007,A UPA foi implementada primeiramente no RJ e depois se expande nacionalmente através da política nacional de atenção as urgências.,"spm, brs",29
Lançamento da Rede Cegonha,2011,"A Rede Cegonha foi oficializada em xxxx, visando garantir atendimento acolhedor para gestantes e bebês, indo do pré-natal ao pós-parto ","spm, brs",22
Criação do programa melhor em casa,2011,"O programa oferece a pacientes que precisem de atenção contínua, atendimento domiliar, é um programa da política nacional de atenção as urgências.","spm, brs",28
Vacina tetraviral entra no PNI,2013,"Ano que a vacina contra sarampo, caxumba, rubeola e catapora entra no PNI.","dvm, brs, spm",7
PreP passa a ser distribuída pelo SUS,2017,A Profilaxia Pré-exposição contra o vírus HIV passa a ser distribuída pelo SUS.,"aid, brs, spm, dvm",32
Primeira descrição da caxumba,-500,Primeira descrição da Caxumba ocorre por Hipócrates.,,9
Primeiro relato clínico do Sarampo,900,"Primeiros relatos clinicos do Sarampo, realizados por Rhazes.",,8
"""Tratamento vermelho"" contra Varíola, para de ser usado",1500,O tratamento vermelho consistia em manter o paciente em ambientes e roupas vermelhas.,,23
Primeira descrição da rubéola,1700,"Rubéola é descrita pela primeira vez, na Alemanha.",,11
Revolta da vacina,1904,"Ocorre uma revolta na população devido a obrigatoriedade para tomar a vacina anti-Varíola, algo novo para a época e extremamente invasivo.","dvm, spm, brs",33
Criação do farmácia popular,2004,O programa visa a distribuição de certos medicamentos de forma gratuita em farmacias credenciadas.,"spm, brs",34
Ministerio da Saúde é criado,1953,"Na época em que foi criado, cuidava apenas de quem fosse da zona rural.","spm, brs",35
1º caso de doença de Chagas,1909,É descoberto o primeiro caso em criança de 2 anos e em um gato.,"dvm, brs",36
É criado o instituto Butantan,1899,"O instituto é criado num contexto de surto de peste bubônica, foi criado pelo governo para tentativa de criação de um soro","spm, brs",37
Fiocruz é criada,1900,"A pedido do governo de São Paulo, é criada a Fiocruz para tentar criar uma cura para a peste.","spm, brs",38
É fundado o primeiro hospital do Brasil,1543,"Em Santos, é fundado o hospital santa casa de misericórida.","spm, brs",39
Vital produz um soro antiofídico,1902,Vital produziu o primeiro soro que dava resultado tanto em picadas de cascavel quanto em picadas de jararacas.,"spm, brs, dvm",40
Criação do CAPS,2002,Ele é criado para substituir os hospitais pisciquiátricos,"spm, brs",41
1º caso de covid no Brasil,2020,O primeiro caso vem de um brasileiro que trabalhava na itália,"dvm, brs",42
Pentavalente entra no SUS,2012,"Vacina contra difteria, tétano, coqueluche, influenza tipo b e hepatite B chega ao SUS","dvm, brs, spm",43
1º caso de leptospirose no Brasil,1930,Primeiro caso ocorreu em São Paulo,"dvm, brs",44
1º casos de meningite no Brasil,1906,Primeiros casos ocorrem em fevereiro desse ano em São Paulo,"dvm, brs",45
Hanseniase oficialmente para de ser chamada de lepra no Brasil,1995,Isso ocorre devido ao preconceito que tal doença leva aos enfermos,"han, brs",46
1º caso de AIDS relatado no Brasil,1982,Ocorre o primeiro relato de AIDS no Brasil,"aid, brs",47
Antirretrovirais são distribuidos gratuitamente pelo gov,1991,Ministério da Saúde inicia distribuição gratuita de antiretrovirais,"aid, brs, spm",48
Patente de medicamentos contra AIDS é quebrada,2001,Brasil quebra patente de medicamento para tratamento da AIDS,"aid, brs, spm",49
1º casos de hanseniase no Brasil,1600,Primeiros casos de hanseníase no Brasil,"han, brs",50
1º leprosário brasileiro é criado,1714,"Primeiro leprosário (locais de internação compulsória para pessoas com Hanseniase, na época chamada de Lepra) criado no Brasil","han, brs",51
Deixa de ser regra a internação compulsória devido Hanseniase,1962,Internação compulsória dos doentes deixa de ser regra,"han, brs",52
Primeiros casos de AIDS são relatados,1977,"Primeiros casos de AIDs foram relatados nos EUA, Haiti e África Central, ","aid, int",53
"CDC nos EUA relata uma ""epidemia de imunossupressão""",1981,"Foi relatado pelo centro de controle e prevenção de doenças dos EUA uma ""epidemia de imunossupressão""","aid, int",54
HIV é identificado,1983,Identificação do retrovírus (HIV) associado como causa da AIDS,"aid, int",55
Criação da UNAIDS,1995,UNAIDS é criada pela ONU,"aid, int, spm ",56
Bacteria que causa hanseniase é descoberta,1873,Identificação da bactéria causadora da doença,"han, int",57
Saúde é reconhecida como direito humano,1948,ONU reconhece a Saúde como direito humano,"spm, int",58
Alzheimer é descoberto,1906,Doença é descoberta por um médico de mesmo nome após estudar cérebro de pesssoa que morta que possuia a doença,"dvm, int",59
